Data Posição;Data Chegada;Ignição;Odômetro;Horímetro;RPM;T1;T2;T3;US;TS;TD1;TD2;TD3;UD1;UD2;UD3;Memória;Satelital;Ponto de Ref. Embarcado;Ponto de Referência;Sensores Inibidos;S. em modo seguro;A. em modo seguro;Cidade;UF
20/10/2025 15:23:06;20/10/2025 15:23:07;SIM;683348,9;12876h 38m;0;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:23:02;20/10/2025 15:23:02;SIM;683348,9;12876h 37m;0;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:20:23;20/10/2025 15:20:24;SIM;683348,9;12876h 35m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:17:03;20/10/2025 15:17:04;SIM;683348,9;12876h 31m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:15:09;20/10/2025 15:15:10;SIM;683348,9;12876h 30m;0;-7;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:10:55;20/10/2025 15:10:56;SIM;683348,9;12876h 25m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:09:40;20/10/2025 15:09:41;SIM;683348,9;12876h 24m;0;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:06:41;20/10/2025 15:06:42;SIM;683348,9;12876h 21m;0;-2;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 15:02:27;20/10/2025 15:02:28;SIM;683348,9;12876h 17m;0;8;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:58:13;20/10/2025 14:58:14;SIM;683348,9;12876h 13m;0;7;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:55:33;20/10/2025 14:55:33;SIM;683348,9;12876h 10m;0;0;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:55:13;20/10/2025 14:55:15;SIM;683348,9;12876h 10m;0;0;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:54:32;20/10/2025 14:54:33;NAO;683348,9;12876h 10m;0;-3;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:53:53;20/10/2025 14:53:54;NAO;683348,9;12876h 10m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:50:32;20/10/2025 14:50:33;NAO;683348,9;12876h 10m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:46:32;20/10/2025 14:46:33;NAO;683348,9;12876h 10m;0;-14;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:42:32;20/10/2025 14:42:34;NAO;683348,9;12876h 10m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:38:32;20/10/2025 14:38:33;NAO;683348,9;12876h 10m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:34:32;20/10/2025 14:34:33;NAO;683348,9;12876h 10m;0;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:30:36;20/10/2025 14:30:37;NAO;683348,9;12876h 10m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
